user_id,consumption_date,meal_type,entry_type,description,calories,protein_g,carbs_g,fat_g,source,notes
7216c939-7f13-411c-9e20-6216bce765d5,2026-06-28,breakfast,Core,"Light paneer bhurji, egg bhurji and half pav",260,14.5,18.5,15,import,"Imported from Airtable Detailed Data record rec00MzrmAIG0fxrd. Original notes: Light breakfast shared with Ishita. Estimated from user description: ~50g egg bhurji, small/light portion of paneer bhurji (~40g serving), and half pav. User clarified original estimate felt high; revised downward to reflect light portion."
7216c939-7f13-411c-9e20-6216bce765d5,2026-06-26,snack,Core,Aloo paratha with Greek yogurt,347,14,39,13,import,Imported from Airtable Detailed Data record rec1vyEthkQ0Oq7rB. Original notes: Post-dinner snack. Estimated from photo and user clarification: 1 homemade aloo paratha plus 1 Milky Mist Greek Yogurt Natural cup with 8g protein. Estimate assumes full yogurt cup eaten and moderate oil/ghee in paratha.
7216c939-7f13-411c-9e20-6216bce765d5,2026-06-28,snack,Alcohol,3 gin and fresh orange juice cocktails,530,3,47,0,import,Imported from Airtable Detailed Data record rec2WflN7mW4xEex1. Original notes: High-end estimate: 150 ml gin total across 3 drinks plus ~450 ml homemade orange juice. Alcohol calories included in total; carbs mainly from orange juice.
7216c939-7f13-411c-9e20-6216bce765d5,2026-06-24,lunch,Core,Chicken salad,450,52,20,17,import,"Imported from Airtable Detailed Data record rec5J0UCZr5Htpb3H. Original notes: Chicken salad estimated from photo and usual recipe: about 200 g raw chicken breast, mixed vegetables, half an apple, small quantity of nuts, Greek yogurt dressing with some tahini/oil component. Similar portion to previous chicken salad; dressing visible but not excessive."
7216c939-7f13-411c-9e20-6216bce765d5,2026-06-28,dinner,Eating Out,"Restaurant dinner: pizza, small salad, pesto fusilli, bread with cream cheese, tiramisu and basque cheesecake",925,36,112,50,import,"Imported from Airtable Detailed Data record rec5Yvpk8FPQvnQhs. Original notes: Restaurant dinner estimate excluding alcohol: 1.5 slices pizza (~375 kcal), very small garden harvest salad (~50 kcal), pesto fusilli about 1/4 restaurant serving revised lower (~200 kcal), small bread with cream cheese/sundried tomato (~120 kcal), tiramisu and basque cheesecake about 1/5 serving each (~180 kcal total)."
7216c939-7f13-411c-9e20-6216bce765d5,2026-06-23,snack,Junk,Japanese cheesecake,130,3,13,8,import,"Imported from Airtable Detailed Data record rec8o3nUclqXmJoAv. Original notes: Plain Japanese fluffy cheesecake. Approximately two spoonfuls consumed, estimated at around 45 g. No filling or toppings."
7216c939-7f13-411c-9e20-6216bce765d5,2026-06-28,snack,Junk,"Subko coffee snack: Americano, coffee banana cake and mango French toast bites",215,3.8,27.5,11,import,Imported from Airtable Detailed Data record recA9iAGu9Fjmlhkc. Original notes: Subko coffee snack. User had iced Americano plus small shared tastings: approx. 3 small bites coffee banana cake and 3 small bites mango French toast with cream. Estimated as tasting portion rather than full desserts. Classified as Junk due to cake/French toast/cream/sugar/butter despite small quantity.
7216c939-7f13-411c-9e20-6216bce765d5,2026-06-23,breakfast,Core,"Protein shake - One Science whey, yellaki bananas, Nestle a+ toned milk",385,46.1,30.2,10.9,import,"Imported from Airtable Detailed Data record recAFcuE3sFwtNVtG. Original notes: 1.5 scoops One Science Whey; 2 tiny yellaki bananas; 250 ml Nestle a+ toned milk. Whey label used: 117 kcal, 25g protein, 1.6g carbs, 2.1g fat per 32.5g scoop. Calories rounded to whole number as per schema; macros stored to 1 decimal."
7216c939-7f13-411c-9e20-6216bce765d5,2026-06-29,lunch,Core,Usual chicken salad,510,66,20,16,import,"Imported from Airtable Detailed Data record recBkby152199bOjt. Original notes: Usual chicken salad estimate: approx. 200g raw chicken breast cooked, mixed vegetables, and standard Greek yogurt/tahini dressing. Not marked as heavier tahini version."
7216c939-7f13-411c-9e20-6216bce765d5,2026-06-26,lunch,Core,Chicken salad with heavier tahini dressing,580,66,22,24,import,"Imported from Airtable Detailed Data record recCrqi8ik5Dl3NUr. Original notes: Estimated from photo: chicken salad with approx. 200g raw chicken breast cooked, vegetables/fruit, Greek yogurt dressing and heavier tahini than usual. Increased calories/fat to account for richer dressing. Estimate may vary with actual tahini/oil quantity."
